id,data_venda,produto,categoria,quantidade,preco_unitario,cliente_id,estoque_atual
121,2026-06-28,Argamassa ACIII 20kg,Construção,2,30.67,,294
116,2026-05-05,Disjuntor 40A,Elétrica,41,21.88,C1014,39
105,2026-03-21,Lâmpada LED 15W,Elétrica,15,18.99,C1004,12
1,2026-01-29,Lâmpada LED 15W,Elétrica,2,18.84,C1007,114
114,2026-04-20,Disjuntor 40A,Elétrica,36,22.48,C1005,380
20,2026-05-08,Lâmpada LED 15W,Elétrica,26,19.17,C1020,234
142,2026-06-19,Capacete de Segurança,EPI,24,33.08,C1020,174
45,2026-08-28,Fita Isolante,Elétrica,37,6.66,C1007,401
62,2026-05-25,Argamassa ACIII 20kg,Construção,34,28.64,C1008,104
41,2026-03-28,Chapa de Aço 2mm,Metais,2,92.28,C1007,301
21,2026-03-09,Tinta Acrílica Branca 18L,Pintura,9,240.61,C1017,275
68,2026-04-23,Tinta Acrílica Branca 18L,Pintura,35,255.16,C1019,413
55,2026-06-28,Capacete de Segurança,EPI,47,37.24,C1017,338
134,2026-02-02,Cimento CP-II 50kg,Construção,31,33.7,C1018,485
54,2026-01-01,Capacete de Segurança,EPI,25,33.96,C1014,146
26,2026-05-16,Tubo PVC 100mm (3m),Hidráulica,17,59.19,C1000,348
157,2026-03-11,Tubo PVC 100mm (3m),Hidráulica,20,54.05,C1003,369
16,2026-04-08,Tubo PVC 100mm (3m),Hidráulica,18,59.33,C1020,352
159,19/02/2026,Tinta Acrílica Branca 18L,Pintura,14,256.27,C1008,370
146,2026-04-30,Tubo PVC 100mm (3m),Hidráulica,28,58.15,C1018,137
